index,signal_factor,protocol,n,is_info,mean,std,median,min,max,feature_group
18,0.5,DGP Realizations,32,False,0.007331601284639798,0.06831061201943478,0.0,-0.21635948443591912,0.2883527753727084,noise
19,0.5,DGP Realizations,32,True,0.022211363217050025,0.08666488458232537,0.0014748031449882681,-0.2588751744922133,0.35211788587495185,informative
20,0.5,DGP Realizations,64,False,-0.0013133387078953767,0.04126289270579243,0.0,-0.15228701073004336,0.13102316520285262,noise
21,0.5,DGP Realizations,64,True,0.0212140369771482,0.05732630578542274,0.006269296552046555,-0.13439915642787215,0.18627518955910816,informative
22,0.5,DGP Realizations,128,False,0.0001946134828621348,0.029571558365250522,0.0,-0.09479954493704312,0.1033073963138631,noise
23,0.5,DGP Realizations,128,True,0.020896225519391923,0.04605633514250979,0.01547496836277551,-0.08936676097251794,0.19223043356406588,informative
24,0.5,DGP Realizations,256,False,-0.0012133631556362095,0.020902954183702784,0.0,-0.06730452782789031,0.05476490335984163,noise
25,0.5,DGP Realizations,256,True,0.01970901095183563,0.02832435052833746,0.017346613888075346,-0.04465552729062239,0.11976035815774688,informative
26,0.5,DGP Realizations,512,False,0.0010746024965985054,0.015139091801324655,0.0,-0.061741758921709966,0.04889776599710327,noise
27,0.5,DGP Realizations,512,True,0.024427561653280465,0.021931436585285922,0.0225119065244761,-0.027855848417297935,0.07830187488091589,informative
28,0.5,DGP Realizations,1024,False,-0.0003529461875582971,0.010086517844316252,0.0,-0.03319253074885342,0.032073690249442066,noise
29,0.5,DGP Realizations,1024,True,0.020442723289480463,0.016018516567828003,0.021031408368686222,-0.02948417830056993,0.05778136755982466,informative
30,0.5,DGP Realizations,2048,False,8.781644289570068e-06,0.00701436426247689,0.0,-0.022952801276713508,0.024301427047803692,noise
31,0.5,DGP Realizations,2048,True,0.02472189014432029,0.010707150516418823,0.02439067235316461,-0.010424732045871465,0.04664181731068062,informative
32,0.5,DGP Realizations,4096,False,0.0004278491614211816,0.004781759476410717,0.0,-0.015045701914870868,0.015381420692423653,noise
