signal_factor,n,seed,protocol,n_iter,variable,is_info,delta
0.5,32,0,Bootstrap,100,$Z_2$,False,0.027374536581486364
0.5,32,0,Bootstrap,100,$Z_3$,False,0.10703532717977726
0.5,32,0,Bootstrap,100,$X_1$,True,-0.07981222603663918
0.5,32,0,Bootstrap,100,$Z_1$,False,0.05233383653347845
0.5,32,0,Bootstrap,100,$Z_2$,False,0.16628756391363142
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0
0.5,32,0,Bootstrap,100,$X_1$,True,0.09298716975047583
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.12918067820230128
0.5,32,0,Bootstrap,100,$Z_3$,False,0.15308324810187246
0.5,32,0,Bootstrap,100,$X_1$,True,0.0
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.029010746198246284
0.5,32,0,Bootstrap,100,$Z_3$,False,0.20807196160336017
0.5,32,0,Bootstrap,100,$X_1$,True,0.16548440465458958
0.5,32,0,Bootstrap,100,$Z_1$,False,0.06226915445665426
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.017802572597757305
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0402060677433167
0.5,32,0,Bootstrap,100,$X_1$,True,0.11753524392969306
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.01429906898656963
0.5,32,0,Bootstrap,100,$Z_2$,False,0.2344899395088056
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.016722731789056144
0.5,32,0,Bootstrap,100,$X_1$,True,0.14437085725427723
0.5,32,0,Bootstrap,100,$Z_1$,False,0.10860125257382736
0.5,32,0,Bootstrap,100,$Z_2$,False,0.03885150031749296
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.009089292039659469
0.5,32,0,Bootstrap,100,$X_1$,True,0.08870530650600594
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.06122441066573492
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0007229366834149431
