context_feature,target_feature,context_idx,target_idx,repeat,fold,rmse_full,rmse_probe,delta_rmse
X_syn1,Z_noise1,2,4,0,2,0.49880179863277035,0.49860010200111887,-0.00020169663165148233
X_syn1,Z_noise2,2,5,0,2,0.4982440214629601,0.4986950645691646,0.0004510431062045295
X_syn1,Z_noise3,2,6,0,2,0.499869310555033,0.501220894741142,0.0013515841861089783
X_syn2,X_causal,3,0,0,2,0.4979621801124858,0.5010122560025487,0.003050075890062953
X_syn2,X_conf,3,1,0,2,0.44403013623566384,0.498970773317053,0.05494063708138913
X_syn2,X_syn1,3,2,0,2,0.46798781120008975,0.5014089785124318,0.03342116731234207
X_syn2,Z_noise1,3,4,0,2,0.4960815111661417,0.4976546841270072,0.0015731729608655098
X_syn2,Z_noise2,3,5,0,2,0.49666706425958435,0.4973355876983439,0.0006685234387595607
X_syn2,Z_noise3,3,6,0,2,0.4975100667011053,0.4988640674107876,0.0013540007096822793
Z_noise1,X_causal,4,0,0,2,0.4991947540689265,0.5012165601046218,0.002021806035695295
Z_noise1,X_conf,4,1,0,2,0.4444486946310138,0.5000251238052581,0.055576429174244324
Z_noise1,X_syn1,4,2,0,2,0.4989379486337679,0.5006848943692992,0.0017469457355313023
Z_noise1,X_syn2,4,3,0,2,0.4965813338097936,0.4948055538832658,-0.0017757799265277763
Z_noise1,Z_noise2,4,5,0,2,0.49636500468427786,0.4967522041754621,0.00038719949118426467
Z_noise1,Z_noise3,4,6,0,2,0.4955033416625133,0.497701608323448,0.0021982666609347
Z_noise2,X_causal,5,0,0,2,0.4973068617679495,0.4981695513536178,0.0008626895856682637
Z_noise2,X_conf,5,1,0,2,0.44497103186094705,0.49795285129964106,0.05298181943869401
Z_noise2,X_syn1,5,2,0,2,0.49732536515350523,0.4988471535276993,0.0015217883741940885
Z_noise2,X_syn2,5,3,0,2,0.49583710254956803,0.49707145261081603,0.0012343500612480018
Z_noise2,Z_noise1,5,4,0,2,0.49635753409464567,0.4991158268194599,0.002758292724814204
Z_noise2,Z_noise3,5,6,0,2,0.49531559879298076,0.4988594814478243,0.0035438826548435665
Z_noise3,X_causal,6,0,0,2,0.4968452221264871,0.49882288940927566,0.0019776672827885866
Z_noise3,X_conf,6,1,0,2,0.44322250843657257,0.49796663988582573,0.054744131449253164
Z_noise3,X_syn1,6,2,0,2,0.49945762321693016,0.5013529804219388,0.0018953572050086076
Z_noise3,X_syn2,6,3,0,2,0.49743353614874286,0.49725417091737034,-0.00017936523137251914
Z_noise3,Z_noise1,6,4,0,2,0.4958009226927673,0.4969590717480771,0.001158149055309754
Z_noise3,Z_noise2,6,5,0,2,0.49505818999753853,0.4962308998549765,0.001172709857437948
X_causal,X_conf,0,1,0,3,0.44231621882538547,0.49739893207175084,0.05508271324636538
X_causal,X_syn1,0,2,0,3,0.4947903149029808,0.4972328794560084,0.002442564553027604
X_causal,X_syn2,0,3,0,3,0.4978737704525579,0.49676223065891134,-0.001111539793646532
X_causal,Z_noise1,0,4,0,3,0.4958410889457458,0.49493801369977647,-0.0009030752459693314
X_causal,Z_noise2,0,5,0,3,0.49643603236769035,0.49460208662715094,-0.001833945740539411
X_causal,Z_noise3,0,6,0,3,0.49502353937131344,0.4975869990688463,0.002563459697532855
X_conf,X_causal,1,0,0,3,0.4418314314161879,0.4444043570973676,0.002572925681179672
X_conf,X_syn1,1,2,0,3,0.4416295585405942,0.44335343788491083,0.0017238793443166145
X_conf,X_syn2,1,3,0,3,0.44413974964818576,0.44536031547362487,0.0012205658254391127
X_conf,Z_noise1,1,4,0,3,0.4421214370897036,0.4447883570375714,0.0026669199478678296
X_conf,Z_noise2,1,5,0,3,0.4434589085932312,0.4437475965307759,0.0002886879375446627
X_conf,Z_noise3,1,6,0,3,0.44615469594241214,0.44336323860295346,-0.0027914573394586806
X_syn1,X_causal,2,0,0,3,0.4953637204091865,0.4953767776151936,1.3057206007083266e-05
X_syn1,X_conf,2,1,0,3,0.44255114116740546,0.49409211027400973,0.05154096910660427
