combo,combo_size,logloss_original,logloss_null,delta,realization,has_informative,combo_type
"('$X_1$', '$Z_{1}$', '$Z_{3}$')",3,0.7012582676333127,0.7026283297938198,0.0013700621605071683,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{1}$', '$Z_{4}$')",3,0.7055072274460606,0.7019814184121692,-0.003525809033891436,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{1}$', '$Z_{5}$')",3,0.7024451880700783,0.706263101663252,0.0038179135931737385,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{1}$', '$Z_{6}$')",3,0.7023489481022462,0.7002229806164428,-0.002125967485803404,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{2}$', '$Z_{3}$')",3,0.707884727338707,0.7016716131566535,-0.006213114182053503,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{2}$', '$Z_{4}$')",3,0.7090323768656271,0.7025851333129621,-0.006447243552665016,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{2}$', '$Z_{5}$')",3,0.7051713762016711,0.7086920203729973,0.003520644171326137,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{2}$', '$Z_{6}$')",3,0.7025943200840946,0.7033476715212567,0.000753351437162042,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{3}$', '$Z_{4}$')",3,0.7062579153900647,0.7059741750080017,-0.00028374038206291363,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{3}$', '$Z_{5}$')",3,0.7044284188409525,0.7081444292787646,0.0037160104378121117,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{3}$', '$Z_{6}$')",3,0.7014349923574253,0.7060503928948653,0.004615400537439918,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{4}$', '$Z_{5}$')",3,0.7079964392561205,0.7030077428556947,-0.004988696400425874,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{4}$', '$Z_{6}$')",3,0.7075576414535222,0.6981705003541637,-0.009387141099358454,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{5}$', '$Z_{6}$')",3,0.7024872592138415,0.7054368275873628,0.0029495683735213385,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{1}$', '$Z_{2}$')",3,0.7026422272393145,0.7045684649694047,0.0019262377300902633,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{1}$', '$Z_{3}$')",3,0.6982845418419377,0.7118544464275793,0.013569904585641668,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{1}$', '$Z_{4}$')",3,0.7018049316108413,0.7024999832501094,0.000695051639268085,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{1}$', '$Z_{5}$')",3,0.7001407859698024,0.7018599415646315,0.0017191555948290471,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{1}$', '$Z_{6}$')",3,0.7011724888593526,0.6993065956199256,-0.0018658932394269856,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{2}$', '$Z_{3}$')",3,0.7075903155369921,0.7020643715771718,-0.005525943959820312,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{2}$', '$Z_{4}$')",3,0.7042536675374618,0.7002546310420623,-0.003999036495399455,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{2}$', '$Z_{5}$')",3,0.7051413614956636,0.7037340522423426,-0.0014073092533209985,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{2}$', '$Z_{6}$')",3,0.698999340771554,0.704586679387007,0.005587338615453019,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{3}$', '$Z_{4}$')",3,0.7071253886649325,0.7044688022480523,-0.002656586416880158,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{3}$', '$Z_{5}$')",3,0.7023316086364111,0.7012754463367519,-0.0010561622996592135,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{3}$', '$Z_{6}$')",3,0.7010473409099869,0.7043392674693565,0.0032919265593696068,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{4}$', '$Z_{5}$')",3,0.7059773006772488,0.7008843020588017,-0.005092998618447142,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{4}$', '$Z_{6}$')",3,0.7037278151680545,0.711733653927419,0.008005838759364559,24,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{5}$', '$Z_{6}$')",3,0.698415309821286,0.7028413968431614,0.004426087021875413,24,True,"$|S \cap \{1,2\}| = 1$"
"('$Z_{1}$', '$Z_{2}$', '$Z_{3}$')",3,0.7065045744247213,0.6986023101559735,-0.007902264268747738,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{2}$', '$Z_{4}$')",3,0.7093753831661804,0.697369248393716,-0.012006134772464483,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{2}$', '$Z_{5}$')",3,0.7042976804851043,0.7045621330115446,0.00026445252644025086,24,False,"$S \cap \{1,2\} = \emptyset$"
